아이디01,비밀번호01,가게명01,02-123-4567,주소01,6,2021/01/20 18:00:01
아이디02,비밀번호02,가게명02,02-123-4567,주소02,6,2021/01/20 18:00:02
아이디03,비밀번호03,가게명03,02-123-4567,주소03,6,2021/01/20 18:00:03
아이디04,비밀번호04,가게명04,02-123-4567,주소04,6,2021/01/20 18:00:04
아이디05,비밀번호05,가게명05,02-123-4567,주소05,6,2021/01/20 18:00:05
아이디06,비밀번호06,가게명06,02-123-4567,주소06,6,2021/01/20 18:00:06
아이디07,비밀번호07,가게명07,02-123-4567,주소07,6,2021/01/20 18:00:07
아이디08,비밀번호08,가게명08,02-123-4567,주소08,6,2021/01/20 18:00:08
아이디09,비밀번호09,가게명09,02-123-4567,주소09,6,2021/01/20 18:00:09
아이디10,비밀번호10,가게명10,02-123-4567,주소10,6,2021/01/20 18:00:10
